Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
2000.0,1.0,1.0,1.0,2000.0,4.0,72.0,2376.0,1,47082.0,2092.0
,2.0,0.9,0.04,1800.0,,,2520.0,2,42877.0,1905.0
,3.0,0.55,0.024,1100.0,,,3744.0,3,41241.0,1832.0
,4.0,0.2,0.003,400.0,,,72.0,4,39135.0,1739.0
,,,,,,,,5,37632.0,1673.0
,,,,,,,,6,37492.0,1666.0
,,,,,,,,7,38597.0,1715.0
,,,,,,,,8,38236.0,1699.0
,,,,,,,,9,37047.0,1646.0
,,,,,,,,10,38844.0,1726.0
,,,,,,,,11,41461.0,1842.0
,,,,,,,,12,43345.0,1926.0
,,,,,,,,13,45767.0,2034.0
,,,,,,,,14,47820.0,2125.0
,,,,,,,,15,47368.0,2105.0
,,,,,,,,16,46207.0,2054.0
,,,,,,,,17,46623.0,2071.0
,,,,,,,,18,47189.0,2096.0
,,,,,,,,19,47418.0,2107.0
,,,,,,,,20,47794.0,2124.0
,,,,,,,,21,50166.0,2229.0
,,,,,,,,22,51457.0,2287.0
,,,,,,,,23,52587.0,2337.0
,,,,,,,,24,52063.0,2313.0
,,,,,,,,25,49107.0,2182.0
,,,,,,,,26,45320.0,2013.0
,,,,,,,,27,43259.0,1922.0
,,,,,,,,28,41291.0,1835.0
,,,,,,,,29,39421.0,1752.0
,,,,,,,,30,39117.0,1738.0
,,,,,,,,31,39697.0,1764.0
,,,,,,,,32,38883.0,1728.0
,,,,,,,,33,37049.0,1646.0
,,,,,,,,34,38434.0,1707.0
,,,,,,,,35,40681.0,1807.0
,,,,,,,,36,42514.0,1889.0
,,,,,,,,37,44920.0,1996.0
,,,,,,,,38,47511.0,2111.0
,,,,,,,,39,47363.0,2105.0
,,,,,,,,40,46340.0,2059.0
,,,,,,,,41,46977.0,2088.0
,,,,,,,,42,47882.0,2128.0
,,,,,,,,43,48174.0,2140.0
,,,,,,,,44,48567.0,2158.0
,,,,,,,,45,50683.0,2252.0
,,,,,,,,46,51932.0,2308.0
,,,,,,,,47,52858.0,2349.0
,,,,,,,,48,52356.0,2327.0
,,,,,,,,49,49577.0,2203.0
,,,,,,,,50,46232.0,2055.0
,,,,,,,,51,44339.0,1971.0
,,,,,,,,52,42428.0,1885.0
,,,,,,,,53,40606.0,1805.0
,,,,,,,,54,40168.0,1785.0
,,,,,,,,55,40415.0,1796.0
,,,,,,,,56,39589.0,1759.0
,,,,,,,,57,37479.0,1665.0
,,,,,,,,58,38844.0,1726.0
,,,,,,,,59,40982.0,1821.0
,,,,,,,,60,42765.0,1900.0
,,,,,,,,61,45177.0,2007.0
,,,,,,,,62,48104.0,2138.0
,,,,,,,,63,48099.0,2138.0
,,,,,,,,64,47279.0,2101.0
,,,,,,,,65,47939.0,2130.0
,,,,,,,,66,48730.0,2165.0
,,,,,,,,67,48884.0,2172.0
,,,,,,,,68,49361.0,2194.0
,,,,,,,,69,51793.0,2302.0
,,,,,,,,70,53211.0,2364.0
,,,,,,,,71,54179.0,2408.0
,,,,,,,,72,53700.0,2387.0
,,,,,,,,73,63592.0,2826.0
,,,,,,,,74,57686.0,2563.0
,,,,,,,,75,54810.0,2436.0
,,,,,,,,76,51962.0,2309.0
,,,,,,,,77,49751.0,2211.0
,,,,,,,,78,49025.0,2179.0
,,,,,,,,79,49003.0,2178.0
,,,,,,,,80,47234.0,2099.0
,,,,,,,,81,46687.0,2074.0
,,,,,,,,82,47699.0,2120.0
,,,,,,,,83,49168.0,2185.0
,,,,,,,,84,50498.0,2244.0
,,,,,,,,85,54216.0,2409.0
,,,,,,,,86,57866.0,2571.0
,,,,,,,,87,58958.0,2620.0
,,,,,,,,88,59647.0,2651.0
,,,,,,,,89,61137.0,2717.0
,,,,,,,,90,62175.0,2763.0
,,,,,,,,91,62246.0,2766.0
,,,,,,,,92,63136.0,2806.0
,,,,,,,,93,64746.0,2877.0
,,,,,,,,94,67739.0,3010.0
,,,,,,,,95,69162.0,3074.0
,,,,,,,,96,69063.0,3069.0
,,,,,,,,97,63981.0,2844.0
,,,,,,,,98,58215.0,2586.0
,,,,,,,,99,55325.0,2459.0
,,,,,,,,100,52282.0,2323.0
,,,,,,,,101,49792.0,2213.0
,,,,,,,,102,49012.0,2178.0
,,,,,,,,103,48724.0,2165.0
,,,,,,,,104,46951.0,2087.0
,,,,,,,,105,46524.0,2067.0
,,,,,,,,106,47699.0,2120.0
,,,,,,,,107,49640.0,2205.0
,,,,,,,,108,51299.0,2279.0
,,,,,,,,109,55202.0,2453.0
,,,,,,,,110,58950.0,2619.0
,,,,,,,,111,60748.0,2700.0
,,,,,,,,112,62042.0,2757.0
,,,,,,,,113,64355.0,2860.0
,,,,,,,,114,65782.0,2923.0
,,,,,,,,115,65965.0,2931.0
,,,,,,,,116,66916.0,2974.0
,,,,,,,,117,68243.0,3033.0
,,,,,,,,118,71370.0,3172.0
,,,,,,,,119,72712.0,3231.0
,,,,,,,,120,72369.0,3216.0
,,,,,,,,121,66395.0,2951.0
,,,,,,,,122,60179.0,2674.0
,,,,,,,,123,56958.0,2531.0
,,,,,,,,124,53490.0,2377.0
,,,,,,,,125,50897.0,2262.0
,,,,,,,,126,49778.0,2212.0
,,,,,,,,127,49160.0,2185.0
,,,,,,,,128,47253.0,2100.0
,,,,,,,,129,47250.0,2099.0
,,,,,,,,130,48919.0,2174.0
,,,,,,,,131,50976.0,2265.0
,,,,,,,,132,52453.0,2331.0
,,,,,,,,133,56350.0,2504.0
,,,,,,,,134,60329.0,2681.0
,,,,,,,,135,62233.0,2766.0
,,,,,,,,136,63350.0,2815.0
,,,,,,,,137,65048.0,2891.0
,,,,,,,,138,65605.0,2915.0
,,,,,,,,139,65384.0,2906.0
,,,,,,,,140,66424.0,2951.0
,,,,,,,,141,67959.0,3020.0
,,,,,,,,142,70741.0,3143.0
,,,,,,,,143,72134.0,3206.0
,,,,,,,,144,72235.0,3210.0
,,,,,,,,145,77231.0,3432.0
,,,,,,,,146,74229.0,3299.0
,,,,,,,,147,69838.0,3103.0
,,,,,,,,148,64959.0,2886.0
,,,,,,,,149,60761.0,2700.0
,,,,,,,,150,56487.0,2510.0
,,,,,,,,151,52241.0,2321.0
,,,,,,,,152,48458.0,2154.0
,,,,,,,,153,48115.0,2138.0
,,,,,,,,154,49818.0,2213.0
,,,,,,,,155,51098.0,2271.0
,,,,,,,,156,52512.0,2333.0
,,,,,,,,157,55962.0,2487.0
,,,,,,,,158,59913.0,2662.0
,,,,,,,,159,63431.0,2819.0
,,,,,,,,160,67705.0,3009.0
,,,,,,,,161,71804.0,3191.0
,,,,,,,,162,73881.0,3284.0
,,,,,,,,163,75391.0,3350.0
,,,,,,,,164,77371.0,3438.0
,,,,,,,,165,79392.0,3528.0
,,,,,,,,166,81516.0,3623.0
,,,,,,,,167,82069.0,3647.0
,,,,,,,,168,79819.0,3547.0
,,,,,,,,169,78062.0,3469.0
,,,,,,,,170,76836.0,3415.0
,,,,,,,,171,72784.0,3234.0
,,,,,,,,172,68398.0,3040.0
,,,,,,,,173,64827.0,2881.0
,,,,,,,,174,61312.0,2725.0
,,,,,,,,175,55918.0,2485.0
,,,,,,,,176,52541.0,2335.0
,,,,,,,,177,52860.0,2349.0
,,,,,,,,178,55107.0,2449.0
,,,,,,,,179,57768.0,2567.0
,,,,,,,,180,59897.0,2661.0
,,,,,,,,181,65119.0,2893.0
,,,,,,,,182,69854.0,3104.0
,,,,,,,,183,72435.0,3219.0
,,,,,,,,184,73912.0,3284.0
,,,,,,,,185,75942.0,3375.0
,,,,,,,,186,77159.0,3429.0
,,,,,,,,187,77374.0,3439.0
,,,,,,,,188,79191.0,3519.0
,,,,,,,,189,81240.0,3610.0
,,,,,,,,190,84721.0,3765.0
,,,,,,,,191,86746.0,3855.0
,,,,,,,,192,86908.0,3862.0
,,,,,,,,193,80210.0,3565.0
,,,,,,,,194,72143.0,3206.0
,,,,,,,,195,67582.0,3003.0
,,,,,,,,196,62790.0,2790.0
,,,,,,,,197,59283.0,2635.0
,,,,,,,,198,57602.0,2560.0
,,,,,,,,199,56652.0,2518.0
,,,,,,,,200,53707.0,2387.0
,,,,,,,,201,53413.0,2373.0
,,,,,,,,202,55432.0,2463.0
,,,,,,,,203,57853.0,2570.0
,,,,,,,,204,59822.0,2659.0
,,,,,,,,205,65135.0,2894.0
,,,,,,,,206,70003.0,3111.0
,,,,,,,,207,72619.0,3227.0
,,,,,,,,208,73893.0,3284.0
,,,,,,,,209,75815.0,3369.0
,,,,,,,,210,77052.0,3425.0
,,,,,,,,211,77183.0,3430.0
,,,,,,,,212,79319.0,3524.0
,,,,,,,,213,81724.0,3632.0
,,,,,,,,214,85530.0,3801.0
,,,,,,,,215,87831.0,3903.0
,,,,,,,,216,88554.0,3935.0
,,,,,,,,217,89745.0,3988.0
,,,,,,,,218,80508.0,3578.0
,,,,,,,,219,75105.0,3338.0
,,,,,,,,220,69774.0,3101.0
,,,,,,,,221,65555.0,2913.0
,,,,,,,,222,63550.0,2824.0
,,,,,,,,223,61807.0,2747.0
,,,,,,,,224,59238.0,2632.0
,,,,,,,,225,59162.0,2629.0
,,,,,,,,226,61741.0,2744.0
,,,,,,,,227,65544.0,2913.0
,,,,,,,,228,68760.0,3056.0
,,,,,,,,229,75487.0,3355.0
,,,,,,,,230,81106.0,3604.0
,,,,,,,,231,83860.0,3727.0
,,,,,,,,232,84413.0,3751.0
,,,,,,,,233,86536.0,3846.0
,,,,,,,,234,87159.0,3873.0
,,,,,,,,235,87467.0,3887.0
,,,,,,,,236,88988.0,3955.0
,,,,,,,,237,91920.0,4085.0
,,,,,,,,238,96640.0,4295.0
,,,,,,,,239,100221.0,4454.0
,,,,,,,,240,100961.0,4487.0
,,,,,,,,241,93441.0,4152.0
,,,,,,,,242,84760.0,3767.0
,,,,,,,,243,79244.0,3521.0
,,,,,,,,244,73526.0,3267.0
,,,,,,,,245,69091.0,3070.0
,,,,,,,,246,66856.0,2971.0
,,,,,,,,247,64904.0,2884.0
,,,,,,,,248,61801.0,2746.0
,,,,,,,,249,61122.0,2716.0
,,,,,,,,250,63074.0,2803.0
,,,,,,,,251,66069.0,2936.0
,,,,,,,,252,68512.0,3045.0
,,,,,,,,253,75022.0,3334.0
,,,,,,,,254,80346.0,3570.0
,,,,,,,,255,82863.0,3682.0
,,,,,,,,256,83645.0,3717.0
,,,,,,,,257,86129.0,3827.0
,,,,,,,,258,86723.0,3854.0
,,,,,,,,259,86520.0,3845.0
,,,,,,,,260,87652.0,3895.0
,,,,,,,,261,89876.0,3994.0
,,,,,,,,262,94349.0,4193.0
,,,,,,,,263,97246.0,4322.0
,,,,,,,,264,97317.0,4325.0
,,,,,,,,265,89691.0,3986.0
,,,,,,,,266,80591.0,3581.0
,,,,,,,,267,75490.0,3355.0
,,,,,,,,268,70290.0,3124.0
,,,,,,,,269,66084.0,2937.0
,,,,,,,,270,64055.0,2846.0
,,,,,,,,271,62408.0,2773.0
,,,,,,,,272,59571.0,2647.0
,,,,,,,,273,59549.0,2646.0
,,,,,,,,274,61806.0,2746.0
,,,,,,,,275,64807.0,2880.0
,,,,,,,,276,66750.0,2966.0
,,,,,,,,277,72539.0,3223.0
,,,,,,,,278,77095.0,3426.0
,,,,,,,,279,79377.0,3527.0
,,,,,,,,280,80348.0,3571.0
,,,,,,,,281,82631.0,3672.0
,,,,,,,,282,83292.0,3701.0
,,,,,,,,283,83564.0,3713.0
,,,,,,,,284,84830.0,3770.0
,,,,,,,,285,86910.0,3862.0
,,,,,,,,286,90864.0,4038.0
,,,,,,,,287,92938.0,4130.0
,,,,,,,,288,92604.0,4115.0
