Period_Index,Rep_Period_Index,Month,Rep_Period
1,7,1,16
2,3,1,18
3,8,1,21
4,7,1,16
5,3,1,18
6,3,1,18
7,10,1,7
8,3,1,18
9,7,1,16
10,8,1,21
11,8,1,21
12,8,1,21
13,3,1,18
14,3,1,18
15,8,1,21
16,7,2,16
17,3,2,18
18,3,2,18
19,9,2,167
20,9,2,167
21,8,2,21
22,8,2,21
23,8,2,21
24,7,2,16
25,7,2,16
26,7,2,16
27,3,2,18
28,8,2,21
29,7,2,16
30,3,3,18
31,5,3,83
32,6,3,44
33,1,3,38
34,1,3,38
35,6,3,44
36,6,3,44
37,1,3,38
38,1,3,38
39,1,3,38
40,6,3,44
41,6,3,44
42,6,3,44
43,1,3,38
44,6,3,44
45,6,3,44
46,1,4,38
47,6,4,44
48,6,4,44
49,6,4,44
50,6,4,44
51,1,4,38
52,1,4,38
53,6,4,44
54,6,4,44
55,1,4,38
56,6,4,44
57,6,4,44
58,1,4,38
59,1,4,38
60,1,4,38
61,5,5,83
62,5,5,83
63,5,5,83
64,5,5,83
65,2,5,95
66,2,5,95
67,2,5,95
68,2,5,95
69,5,5,83
70,5,5,83
71,4,5,105
72,5,5,83
73,5,5,83
74,5,5,83
75,5,5,83
76,5,6,83
77,5,6,83
78,4,6,105
79,4,6,105
80,4,6,105
81,5,6,83
82,5,6,83
83,5,6,83
84,4,6,105
85,5,6,83
86,5,6,83
87,4,6,105
88,4,6,105
89,4,6,105
90,4,6,105
91,4,7,105
92,5,7,83
93,5,7,83
94,4,7,105
95,2,7,95
96,2,7,95
97,2,7,95
98,4,7,105
99,4,7,105
100,4,7,105
101,4,7,105
102,4,7,105
103,5,7,83
104,4,7,105
105,4,7,105
106,4,7,105
107,4,8,105
108,5,8,83
109,4,8,105
110,4,8,105
111,4,8,105
112,4,8,105
113,4,8,105
114,5,8,83
115,2,8,95
116,2,8,95
117,2,8,95
118,4,8,105
119,5,8,83
120,2,8,95
121,2,8,95
122,4,9,105
123,4,9,105
124,4,9,105
125,4,9,105
126,7,9,16
127,4,9,105
128,8,9,21
129,2,9,95
130,2,9,95
131,2,9,95
132,4,9,105
133,4,9,105
134,5,9,83
135,7,9,16
136,2,9,95
137,7,10,16
138,6,10,44
139,7,10,16
140,7,10,16
141,6,10,44
142,6,10,44
143,1,10,38
144,6,10,44
145,1,10,38
146,6,10,44
147,1,10,38
148,1,10,38
149,1,10,38
150,7,10,16
151,2,10,95
152,7,10,16
153,8,11,21
154,7,11,16
155,9,11,167
156,9,11,167
157,8,11,21
158,7,11,16
159,9,11,167
160,9,11,167
161,9,11,167
162,9,11,167
163,9,11,167
164,9,11,167
165,9,11,167
166,9,11,167
167,9,11,167
168,9,12,167
169,9,12,167
170,9,12,167
171,9,12,167
172,3,12,18
173,9,12,167
174,8,12,21
175,8,12,21
176,3,12,18
177,3,12,18
178,8,12,21
179,7,12,16
180,3,12,18
181,8,12,21
182,8,12,21
